GUN LAW STRENGTH (RANKED),STATE,2018 GRADE
37,Alabama,F
44,Alaska,F
46,Arizona,F
41,Arkansas,F
1,California,A
15,Colorado,C
3,Connecticut,A-
11,Delaware,B
19,Florida,C-
34,Georgia,F
7,Hawaii,A-
48,Idaho,F
8,Illinois,B+
26,Indiana,D-
16,Iowa,C
45,Kansas,F
43,Kentucky,F
30,Louisiana,F
36,Maine,F
4,Maryland,A-
5,Massachusetts,A-
16,Michigan,C
13,Minnesota,C+
50,Mississippi,F
47,Missouri,F
38,Montana,F
20,Nebraska,C-
25,Nevada,D
33,New Hampshire,F
2,New Jersey,A
30,New Mexico,F
6,New York,A-
24,North Carolina,D
38,North Dakota,F
22,Ohio,D
29,Oklahoma,F
14,Oregon,C+
12,Pennsylvania,C+
9,Rhode Island,B+
30,South Carolina,F
42,South Dakota,F
27,Tennessee,D-
34,Texas,F
28,Utah,D-
21,Vermont,D+
22,Virginia,D
10,Washington,B+
38,West Virginia,F
18,Wisconsin,C-
48,Wyoming,F
